,"Data used in Predicting phenology of herbivorous insects by Zimo Yang, Elise Woodruff, David Held, and Nate B Hardy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data_Collection,Scientific_name,Experiment,upper_temp,base_temp_eggAd,base_temp_Egg,base_temp_Larvae,base_temp_Pupae,eggDD,laDD,puDD,eggAdDD,eggEggDD,notes,notes2,Specific_Location,Latitude,Longitude,lat.range,lon.range,Estimated_Location,tested_host_plant,th_herb,th_wood,th_genus,th_family,tested_host_plant_structure,Abstract,Author,Year,Title,Journal,Vol.,Pages,Order,Family,Genus,Species,Body_Size,Length_measured,Body_size_note,Body_size_Source,Host_Breadth,Growth_Form,Herb,Wood,Host_Source,tMode,Mark
1,Round of collection,,Data from Field or controlled environment (Lab). Notes in () refers to non-original data.,NA,Lower threshold of total immature stage (degree C),Lower threshold of egg (degree C),Lower threshold of larvae or nymph (degree C),Lower threshold of pupae (degree C),"Degree day requirement for egg; Lower threshold used for calculation is noted  in “notes 2” column, if not noted, the value in the corresponding “base_temp” column is used",Degree day requirement for larvae or nymph,Degree day requirement for pupae,Degree day requirement for total immature stage,Degree day requirement for a generation,,,Location of the source populations,Mean latitude of the source populations,Mean longitude of the source population,"Range of latitudes of the source population. If multiple populations, this is the mean range, which is not useful","Range of longtitudes of the source population. If multiple populations, this is the mean range, which is not useful",E means source population location is an estimation based on the state/equivalence of the experiment site.,"What was feed to the larvae/nymph to generation the life table. For field experiments, this is the dominate host species in the experiment region, if clearly specificed in the paper",Growth form of the tested host plant,/,"Genus the tested host plant, NA if multiple genus, AF for artificial food","Family of the tested host plant, NA if multiple family, AF for artificial food",The part of the tested host plant that was feed to the insect,Publication information,,,,,,,,,,,NA,"Body: head vertex to abdomen tip; Wing span; Fore wing; When multiple measurements are available, priority is body>wingspan>forewing",,,"Number of known host plant species, probably biased toward economically/ecologicall important plants","Growth form of known host plants; wood if all plants are wooden, herb if all are herbaceous, both if mix, NA if the species is not specificred",All host herb,All host wood,,0: exterior feeders above ground; 1: interior feeders above ground; 2: underground feeders,used for detect non-included species in the thermal requirement sheet
2,3,Acalymma vittatum,Lab,NA,13,,,,,,,500,,,,"Pennsylvania, USA",41.11722765,-77.60537765,2.7949229,5.8314113,E,Cucurbita maxima,Forb/herb,N,Cucurbita,Cucurbitaceae,Seedling,"Acalymma vittatum (F.) is a cucurbit herbivore specialist and the vector of Erwinia tracheiphila (E. F. Smith) Holland, the causal agent of bacterial wilt in cucurbits. We determined the temperature-dependent development, survivorship, longevity, sex ratio, and fecundity of this vector. Egg-to adult development was modeled as y = e(0.225 × T)−e[0.225 × 36.017 − (36.017 − T)/4.425], which suggests a maximum development rate of 4.29%/d at 32°C. Linear extrapolations suggest a lower threshold of 13°C and 432 DD needed for A. vittatum development. Survivorship of immature stages, which ranged from 60% at 27°C to 4% at 33°C, was strongly influenced by temperature, and no beetles survived to the adult stage at 36°C. Sex ratios did not deviate from 1:1. Adults were long-lived, with continuous egg production, which ranged from 0 to 4 eggs/female/d, after an 8-d preovipositional period at 27°C. Life table statistics were generated using these data. Together, these phenology models and life table information can be used to further develop integrated pest management programs for both A. vittatum and E. tracheiphila in cucurbits.","Ellers-Kirk, C. and Fleischer, S. J.",2006,"Development and life table of Acalymma vittatum (Coleoptera: Chrysomelidae), a vector of Erwinia tracheiphila in cucurbits",Environmental Entomology,35.4,875-880,Coleoptera,Chrysomelidae,Acalymma,vittatum,5.25,Body,,https://entnemdept.ufl.edu/creatures/VEG/BEAN/striped_cucumber_beetle.html,NA,NA,NA,NA,,2,Included
3,1,Acanthoscelides obtectus,NA,NA,11.2,11.2,,,,,,,,"Paper in Italian, data only taken from Table 2",no access,"Goiania, GO, Brazil",-16.6430453,-49.2624762,0.3776622,0.368952399999998,,Common Bean,Forb/herb,N,Phaseolus,Fabaceae,NA,"Survival and development rates were obtained in the laboratory in Italy for the eggs of Acanthoscelides obtectus (a major pest of dried leguminous seeds especially Phaseolus and Cicer spp.) at constant temperatures between 10 and 38 deg C, 60-80% RH and continuous darkness. The lower development threshold was between 11 and 12 deg C, and the optimum temperature range for development (with less than 10% mortality) was 15-30 deg C, at which the egg stage lasted 4-19.9 days, according to temperature; outside the optimum temperature range, mortality increased sharply to 29.17% at 13 and 100% at 10 deg C, or to 26.45% at 33 deg C, 89% at 35 and 100% at 38 deg C","Loi, G. and L. Fornasari ",1985,Influence of temperature on the egg development of Acanthoscelides obtectus (Say) (Coleoptera Bruchidae). ,Frustula Entomologica ,6,407-412 ,Coleoptera,Bruchidae,Acanthoscelides,obtectus,2.5,Body,Averaged: 2.0-3.0,https://entnemdept.ufl.edu/projex/gallery/dl/Stored_Product_Pests/text/bean_weevil.htm,12,herb,Y,N,"https://plantwiseplusknowledgebank.org/doi/10.1079/PWKB.Species.2503#:~:text=Impact-,A.,pest%20status%20on%20these%20hosts.",1,Included
4,3,Acanthoscelides obtectus,Lab,NA,9.44,,,,,,,687.5,,,,"Santo Antônio de Goiás, Goiás, Brazil",-16.47758275,-49.2918823,0.157165499999998,0.156596999999998,,Phaseolus vulgaris cv. Carioca,Forb/herb,N,Phaseolus,Fabaceae,Seed,"The current study investigated the influence of temperature on the biological and reproductive aspects of the bean bruchid beetle, Acanthoscelides obtectus (Coleoptera: Bruchinae), in common bean (Phaseolus vulgaris cv. Carioca) under laboratory conditions. To determine thermal constants (fecundity, lifespan and seed consumption), we examined egg-to-adult development under five constant temperatures (16–32 °C). The Briere-1 model best explained the relationship between temperature and developmental rate, providing lower, upper and optimal thresholds of 11.1, 36.1 and 30.3 °C, for both sexes. The thermal constant for total insect development was 687.5 degree-days. Developmental time from egg to adult decreased with increasing temperature >20 °C. Increasing temperature reduced adult lifespan and increased fecundity over the range 24–28 °C. Adult emergence was maximized over the range 20–28 °C, but prolonged at 16 °C and shortened at 32 °C, resulting in fewer emerged adults overall. Beetles consumed less at ≥28 °C, whereas their dry weight was not influenced by the temperature range tested here. These results provide useful knowledge on the biology and thermotolerance of this Brazilian population of A. obtectus in stored beans.","Soares, M. A., Quintela, E. D., Mascarin, G. M., et al.",2015,Effect of temperature on the development and feeding behavior of Acanthoscelides obtectus (Chrysomelidae: Bruchinae) on dry bean (Phaseolus vulgaris L.),Journal of Stored Products Research,61,90-96,Coleoptera,Bruchidae,Acanthoscelides,obtectus,2.5,Body,Averaged: 2.0-3.0,https://entnemdept.ufl.edu/projex/gallery/dl/Stored_Product_Pests/text/bean_weevil.htm,12,herb,Y,N,"https://plantwiseplusknowledgebank.org/doi/10.1079/PWKB.Species.2503#:~:text=Impact-,A.,pest%20status%20on%20these%20hosts.",1,Included
5,1,Acrobasis nuxvorella,Field,NA,3.3,,,,,,,,,E: Only notes base temp. (Picking one study location),,"College Station, Texas, USA",30.58744425,-96.2921087,0.1419283,0.191091999999998,,Pecan,N,Tree,Carya,Juglandaceae,NA,"A prediction model for the pecan pest Acrobasis nuxvorella Neunzig that was developed at College Station, Texas, was tested using data from Shreveport (Louisiana) and Brownwood (Texas). A base temperature of 3.3�?C was acceptable at all 3 locations, but the best starting date at the 2 new locations was 21 March, as compared with 12 March at College Station. The difference in starting dates can be used to generalise the model to other locations based on the difference in frost-free days among locations and the difference of 9 days in the starting dates in the locations already studied.","Ring, D. R., V. R. Calcote, et al.",1983,Verification and generalization of a degree-day model predicting pecan nut casebearer (Lepidoptera: Pyralidae) activity,Environmental Entomology,12, 487-489,Lepidoptera,Pyralidae,Acrobasis,nuxvorella,10,Body,,https://cgru.usda.gov/carya/Manual/PNCproc.html,1,wood,N,Y,https://extension.okstate.edu/programs/digital-diagnostics/insects-and-arthropods/pecan-nut-casebearer-acrobasis-nuxvorella/,1,Included
6,1,Acrolepiopsis assectella,Lab,NA,6,8.17,4.75,6.15,117,317,196,630,,,,"Uppsala, Sweden",59.8586126,17.6387436,0.32,0.32,,Leek,Forb/herb,N,Allium,Alliaceae,Leaf,"Effects of temperature on egg, larval and pupal developmental times of the leek moth (A. assectella) were examined at five constant temperatures ranging from 12 to 20�?C. Using this data, a linear degree-day model for the leek moth was developed. The model gave the threshold temperature of Th = 6�?C, and 630 degree-days were required above the threshold temperature, to complete the development of the leek moth. To validate the model in the field, flight activity was studied using pheromone traps during the summers of 1998 and 1999, in Ultuna, Uppsala, Sweden. If the summer was warm, the leek moth can have two generations per year in Sweden, but the probability of completing two generations within the leek plantations is very limited. The likelihood of the leek moth becoming a pest is highly dependent on access to alternative host plants for the first generation of leek moths.","Asman, K.",2001,"Effect of temperature on development and activity periods of the leek moth Acrolepiopsis assectella Zell. (Lep., Acrolepiidae)",Journal of Applied Entomology,125, 361-364,Lepidoptera,Yponomeutidae,Acrolepiopsis,assectella,9.53,Body,3/8inch,https://www.uvm.edu/extension/leek-moth-description,7,herb,Y,N,https://plantwiseplusknowledgebank.org/doi/full/10.1079/pwkb.species.3017,1,Included
7,3,Acyrthosiphon gossypii,Lab,NA,7.956989,,,,,,,107.5269,,,,"Xinjiang, China",41.7560599,84.94368575,14.8439932,22.8879021,,Cotton,N,Shrub/Subshrub/Tree,Gossypium,Malvaceae,Leaf,"Acyrthosiphon gossypii is a widespread, major pest of cotton in central Asia. Effects of specific temperatures on A. gossypii development and survival are unknown and would be useful in helping interpret population dynamics and devising management tactics for this pest. In this paper, the effect of temperature on the life table of A. gossypii reared on cotton was evaluated under laboratory conditions using temperatures of 18, 21, 24, 27, and 30 °C. The developmental rate of immatures increased exponentially from 18 to an optimum around 27 °C and then declined. The estimated lower developmental threshold was 8.0 °C, and 107.5 degree days were required for development from the first instar to adult. The percentage survival of immature stages varied from 81 to 91 % within the range of 18-27 °C. Survival declined to 27 % at 30 °C. The average longevity of adult females was 15.7, 11.7, 8.2, 5.2, and 2.8 days, and the average number of offspring produced per female was 46, 38, 20, 14, and 0, at temperatures of 18, 21, 24, 27, and 30 °C, respectively. From 21-27 °C, the intrinsic rate of increase of A. gossypii was significantly higher than at 18 °C, indicating that 21–27 °C was within the optimal range for the growth of A. gossypii, and that 30 °C constant is beyond the upper limit for reproduction. The observations will form the basis of a forecasting system and could account for the decline of the species on cotton in central Asia as well as other regions during hot summer months.","Gao, G. Z., Perkins, L. E., Zalucki, M. P., et al.",2013,Effect of temperature on the biology of Acyrthosiphon gossypii Mordvilko (Homoptera: Aphididae) on cotton,Journal of Pest Science,86,167-172,Hemiptera,Aphididae,Acyrthosiphon,gossypii,1.4,Body,Averaged: 0.9-1.9,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.6204#sec-7,209,both,Y,Y,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.6204#sec-18,0,Included
8,1,Acyrthosiphon kondoi,Lab,27.1,3.45,,,,,147.1,,147.1,169.7,Egg to egg DD is an average of alates (182.59 DD) and apterous (157.69 DD),,"Berkeley, California ",37.8712083,-122.30143775,0.070962600000002,0.134483099999997,,Alfalfa,Forb/herb,N,Medicago,Fabaceae,Stem,"The response of the lucerne pest Acyrthosiphon kondoi Shinji was evaluated at constant temperatures of 4.4-32.2 degrees C in the laboratory in California. The lower and upper thresholds for development were calculated to be 3.45 and 27.1 degrees C, respectively. Development and reproduction occurred at 4.4 degrees C, but no development occurred at 32.2 degrees C. At 29.4 degrees C, aphids reached the adult stage but failed to reproduce. The mean total development time was 144.93 day-degrees C. The prepartum period for alates was 43% longer than for apterae. The mean physiological time to 50% mortality was 683.08 day-degrees C, and the mean reproductive period 473.80 day-degrees C. The maximum rm and minimum doubling time and mean generation time, on a physiological time scale, were at 10.0-18.3 degrees C. The largest rm (0.0161) and shortest doubling time (43.08 day-degrees C) occurred at 15.6 degrees C. Physiological time was found the be much more realistic than calendar time in describing the population dynamics of the aphid.","Summers, C.G., R.L. Coviello, and A.P. Gutierrez",1984,Influence of constant temperatures on the development and reproduction of Acyrthosiphon kondoi (Homoptera: Aphididae),Environmental Entomology,13,236-242,Hemiptera,Aphididae,Acyrthosiphon,kondoi,3.25,Body,3.0-3.5,https://extension.okstate.edu/programs/digital-diagnostics/insects-and-arthropods/blue-aphid-acyrthosiphon-kondoi/,18,herb,Y,N,https://plantwiseplusknowledgebank.org/doi/10.1079/PWKB.Species.3145,0,Included
